
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -83.145076]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -81.200529]"
"['Na Hlavnej', 'Trojica', -91.534646]"
"['Trojica', 'Duklianska  *', -131.383158]"
"['Duklianska  *', 'Rázcestie Kúty  *', -115.690676]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -87.309452]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -93.367648]"
"['Šarišské Lúky  *', 'Vranovská  *', -92.97859]"
"['Vranovská  *', 'Paica  *', -87.305119]"
"['Na Hlavnej', 'Ve¾ká pošta', -116.233326]"
"['Ve¾ká pošta', 'Èierny most', -112.85056]"
"['Èierny most', 'eleznièná stanica', -115.234368]"
"['eleznièná stanica', 'Škára *', -123.208442]"
"['Škára *', 'Solivarská  *', -132.040041]"
"['Solivarská  *', 'Bohúòova  *', -100.035238]"
"['Bohúòova  *', 'Múzeum Solivar *', -99.511121]"
"['Niná Šebastová', 'Paica  *', -49.164583]"
"['Solivar', 'Múzeum Solivar *', -27.987519]"
"['Niná Šebastová', 'Niná Šebastová', -11.0]"

 8:
"['Škára *', 'eleznièná stanica', -122.160757]"
"['eleznièná stanica', 'Èierny most', -110.793172]"
"['Èierny most', 'Divadlo Jonáša Záborského', -158.281385]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -154.128578]"
"['Na Hlavnej', 'Trojica', -93.326846]"
"['Trojica', 'Poliklinika', -135.341933]"
"['Poliklinika', 'Clementisova', -97.573495]"
"['Clementisova', 'Volgogradská', -96.71292]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -82.646659]"
"['Nám.Krá¾.pokoja', 'VUKOV', -69.423643]"
"['VUKOV', 'Centrum', -76.674034]"
"['Centrum', 'Prostìjovská', -69.163893]"
"['Lesnícka', 'Pavla Horova', -127.713404]"
"['Pavla Horova', 'Martina Benku', -138.125064]"
"['Martina Benku', 'Jurkovièova', -142.165117]"
"['Jurkovièova', 'Karpatská', -156.903424]"
"['Na Hlavnej', 'Ve¾ká pošta', -31.877254]"
"['Ve¾ká pošta', 'Èierny most', -32.182488]"
"['Sibírska', 'Karpatská', -86.647597]"
"['Lesnícka', 'Škára *', -133.092495]"
"['Sídlisko III', 'Prostìjovská', -38.615215]"
"['Sibírska', 'Sibírska', -7.0]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -91.262436]"
"['Prešovská univerzita', 'Škultétyho', -92.236705]"
"['Škultétyho', 'eleznièná stanica', -108.817037]"
"['eleznièná stanica', 'Škára *', -120.908273]"
"['Škára *', 'Lesnícka', -130.396917]"
"['Lesnícka', 'Pavla Horova', -128.713108]"
"['Pavla Horova', 'Martina Benku', -134.818091]"
"['Martina Benku', 'Jurkovièova', -146.859775]"
"['Jurkovièova', 'Karpatská', -158.586969]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -173.879771]"
"['Námestie mládee  *', 'Obrancov mieru', -177.837907]"
"['Obrancov mieru', 'Clementisova', -109.424812]"
"['Clementisova', 'Volgogradská', -117.951622]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -104.146249]"
"['Nám.Krá¾.pokoja', 'VUKOV', -87.913364]"
"['VUKOV', 'Centrum', -99.842804]"
"['Centrum', 'Prostìjovská', -92.070015]"
"['Sibírska', 'Karpatská', -81.737619]"
"['Sídlisko III', 'Prostìjovská', -38.547461]"
"['Obrancov mieru', 'Duchnovièovo nám.', -34.733511]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -93.136126]"
"['Mukaèevská  *', 'Centrum', -142.823194]"
"['Centrum', 'Prostìjovská', -92.354527]"
"['Sídlisko III', 'Prostìjovská', -39.120537]"
"['Centrum', 'VUKOV', -55.606182]"
"['VUKOV', 'Mukaèevská  *', -36.802929]"
"['Jazdecká  *', 'Sabinovská', -64.50152]"
"['Sabinovská', 'Trojica', -92.444277]"
"['Trojica', 'Na Hlavnej', -87.991443]"
"['Na Hlavnej', 'Ve¾ká pošta', -43.625951]"
"['Ve¾ká pošta', 'Èierny most', -48.622901]"
"['Èierny most', 'eleznièná stanica', -111.710007]"
"['eleznièná stanica', 'Škára *', -106.227075]"
"['Lomnická', 'Švábska', -107.662061]"
"['Švábska', 'Chalupkova  *', -100.463191]"
"['Chalupkova  *', 'Košická  *', -114.963049]"
"['Košická  *', 'Novı Solivar  *', -102.545455]"
"['Novı Solivar  *', 'eleznièná stanica', -122.245325]"
"['Èierny most', 'Divadlo Jonáša Záborského', -141.212493]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -133.674453]"
"['Trojica', 'Bjornsonova  *', -132.599584]"
"['Bjornsonova  *', 'Jazdecká  *', -142.842675]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -119.341549]"
"['Poliklinika', 'Clementisova', -90.254948]"
"['Clementisova', 'Volgogradská', -78.961245]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -70.805952]"
"['Nám.Krá¾.pokoja', 'VUKOV', -59.207305]"
"['VUKOV', 'Centrum', -60.941934]"
"['Centrum', 'Prostìjovská', -61.350958]"
"['Pod Šalgovíkom', 'Vansovej', -41.521083]"
"['Vansovej', 'L.Novomeského', -108.112845]"
"['L.Novomeského', 'Martina Benku', -124.812436]"
"['Martina Benku', 'Pavla Horova', -127.42524]"
"['Pavla Horova', 'Lesnícka', -115.984677]"
"['Lesnícka', 'Škára *', -122.070721]"
