
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -63.369514]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -62.890777]"
"['Na Hlavnej', 'Trojica', -69.135738]"
"['Trojica', 'Duklianska  *', -106.948487]"
"['Duklianska  *', 'Rázcestie Kúty  *', -95.462479]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -64.285467]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -71.364926]"
"['Šarišské Lúky  *', 'Vranovská  *', -72.618989]"
"['Vranovská  *', 'Paica  *', -64.959199]"
"['Na Hlavnej', 'Ve¾ká pošta', -73.194556]"
"['Ve¾ká pošta', 'Èierny most', -71.163205]"
"['Èierny most', 'eleznièná stanica', -84.434863]"
"['eleznièná stanica', 'Škára *', -101.017827]"
"['Škára *', 'Solivarská  *', -99.635372]"
"['Solivarská  *', 'Bohúòova  *', -79.31581]"
"['Bohúòova  *', 'Múzeum Solivar *', -77.042407]"
"['Niná Šebastová', 'Paica  *', -46.484416]"
"['Solivar', 'Múzeum Solivar *', -31.841947]"

 8:
"['Škára *', 'eleznièná stanica', -77.511794]"
"['eleznièná stanica', 'Èierny most', -60.936276]"
"['Èierny most', 'Divadlo Jonáša Záborského', -86.333023]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -79.720032]"
"['Na Hlavnej', 'Trojica', -44.140428]"
"['Trojica', 'Poliklinika', -79.987878]"
"['Poliklinika', 'Clementisova', -53.876261]"
"['Clementisova', 'Volgogradská', -39.322281]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -31.872194]"
"['Nám.Krá¾.pokoja', 'VUKOV', -31.216062]"
"['VUKOV', 'Centrum', -24.745015]"
"['Centrum', 'Prostìjovská', -30.467589]"
"['Lesnícka', 'Pavla Horova', -79.398339]"
"['Pavla Horova', 'Martina Benku', -88.042744]"
"['Martina Benku', 'Jurkovièova', -93.231997]"
"['Jurkovièova', 'Karpatská', -108.080933]"
"['Na Hlavnej', 'Ve¾ká pošta', -5.957724]"
"['Ve¾ká pošta', 'Èierny most', -2.49]"
"['Sibírska', 'Karpatská', -51.567931]"
"['Lesnícka', 'Škára *', -78.562414]"
"['Sídlisko III', 'Prostìjovská', -55.545714]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -59.824973]"
"['Prešovská univerzita', 'Škultétyho', -59.307103]"
"['Škultétyho', 'eleznièná stanica', -71.835675]"
"['eleznièná stanica', 'Škára *', -83.916681]"
"['Škára *', 'Lesnícka', -86.903427]"
"['Lesnícka', 'Pavla Horova', -87.060209]"
"['Pavla Horova', 'Martina Benku', -90.939291]"
"['Martina Benku', 'Jurkovièova', -96.053302]"
"['Jurkovièova', 'Karpatská', -109.257508]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -125.704059]"
"['Námestie mládee  *', 'Obrancov mieru', -125.623037]"
"['Obrancov mieru', 'Clementisova', -72.935002]"
"['Clementisova', 'Volgogradská', -70.55256]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -61.89652]"
"['Nám.Krá¾.pokoja', 'VUKOV', -53.162655]"
"['VUKOV', 'Centrum', -63.778673]"
"['Centrum', 'Prostìjovská', -58.227511]"
"['Sibírska', 'Karpatská', -55.706972]"
"['Sídlisko III', 'Prostìjovská', -21.356328]"
"['Obrancov mieru', 'Duchnovièovo nám.', -16.695155]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -60.813899]"
"['Mukaèevská  *', 'Centrum', -96.800839]"
"['Centrum', 'Prostìjovská', -66.531034]"
"['Sídlisko III', 'Prostìjovská', -34.677143]"
"['Centrum', 'VUKOV', -51.498452]"
"['VUKOV', 'Mukaèevská  *', -33.964158]"
"['Jazdecká  *', 'Sabinovská', -62.246429]"
"['Sabinovská', 'Trojica', -86.544629]"
"['Trojica', 'Na Hlavnej', -55.703356]"
"['Na Hlavnej', 'Ve¾ká pošta', -36.662971]"
"['Ve¾ká pošta', 'Èierny most', -36.232804]"
"['Èierny most', 'eleznièná stanica', -76.882857]"
"['eleznièná stanica', 'Škára *', -78.994505]"
"['Lomnická', 'Švábska', -79.099379]"
"['Švábska', 'Chalupkova  *', -75.284444]"
"['Chalupkova  *', 'Košická  *', -81.858921]"
"['Košická  *', 'Novı Solivar  *', -67.657795]"
"['Novı Solivar  *', 'eleznièná stanica', -86.906323]"
"['Èierny most', 'Divadlo Jonáša Záborského', -89.844358]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -85.909657]"
"['Trojica', 'Bjornsonova  *', -68.828645]"
"['Bjornsonova  *', 'Jazdecká  *', -85.237006]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -70.155577]"
"['Poliklinika', 'Clementisova', -48.497682]"
"['Clementisova', 'Volgogradská', -28.914295]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -26.888484]"
"['Nám.Krá¾.pokoja', 'VUKOV', -21.659363]"
"['VUKOV', 'Centrum', -18.371046]"
"['Centrum', 'Prostìjovská', -23.704864]"
"['Pod Šalgovíkom', 'Vansovej', -14.736807]"
"['Vansovej', 'L.Novomeského', -62.63281]"
"['L.Novomeského', 'Martina Benku', -77.955303]"
"['Martina Benku', 'Pavla Horova', -76.242413]"
"['Pavla Horova', 'Lesnícka', -71.109486]"
"['Lesnícka', 'Škára *', -69.573381]"
"['Škára *', 'eleznièná stanica', -67.753601]"
"['eleznièná stanica', 'Èierny most', -52.365639]"
"['Èierny most', 'Divadlo Jonáša Záborského', -81.449879]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -73.471744]"
"['Na Hlavnej', 'Trojica', -35.419365]"
"['Na Hlavnej', 'Ve¾ká pošta', 5.142982]"
"['Ve¾ká pošta', 'Èierny most', 4.902321]"
"['Sídlisko III', 'Prostìjovská', -39.48373]"

11:
"['Poliklinika', 'Levoèská', -65.210114]"
"['Levoèská', 'Rázcestie Rúrky  *', -45.900925]"
"['Rázcestie Rúrky  *', 'J.Bereša  *', -29.079487]"
"['Na Rúrkach', 'J.Bereša  *', -36.756757]"
"['Poliklinika', 'Trojica', -71.889296]"
"['Trojica', 'Na Hlavnej', -42.612519]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -55.09854]"
"['Na Hlavnej', 'Ve¾ká pošta', -27.803279]"
"['Ve¾ká pošta', 'Èierny most', -35.086957]"
"['Èierny most', 'Rusínska  *', -81.505682]"
"['Rusínska  *', 'Eperia', -81.387597]"
"['Eperia', 'Martina Benku', -109.493724]"
"['Martina Benku', 'Pavla Horova', -81.867987]"
"['Pavla Horova', 'Lesnícka', -91.326531]"
"['Lesnícka', 'Suvorovova  *', -99.742049]"
"['Suvorovova  *', 'Cintorín Solivar *', -85.523511]"
"['Cintorín Solivar *', 'Na brehu  *', -74.366667]"
"['Na brehu  *', 'Pod Hrádkom  *', -75.960396]"
"['Pod Hrádkom  *', 'Valkovská  *', -69.627451]"
"['Solivar', 'Valkovská  *', -78.522167]"
"['Martina Benku', 'Rusínska  *', -106.866667]"
"['Rusínska  *', 'HOBBY PARK *', -79.1]"
"['HOBBY PARK *', 'Èierny most', -91.677835]"
"['Èierny most', 'Divadlo Jonáša Záborského', -84.9]"

 7:
"['Èierny most', 'Štúrova  *', -72.231469]"
"['Štúrova  *', 'Priemyselné centrum  *', -31.188455]"
"['Priemyselné centrum  *', 'Pekárne  *', -42.879386]"
"['Trojica', 'Duklianska  *', -74.176522]"
"['Duklianska  *', 'Rázcestie Kúty  *', -49.063291]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -46.279167]"
"['Dopravnı podnik  *', '¼ubochnianska  *', -48.075109]"
"['¼ubochnianska  *', 'Strojnícka  *', -44.727273]"
"['Strojnícka  *', 'Drustevná  *', -40.608856]"
"['Širpo', 'Drustevná  *', -17.495763]"
"['Budovate¾ská', 'Pekárne  *', -28.926829]"
"['Trojica', 'Na Hlavnej', -46.238745]"
"['Na Hlavnej', 'Ve¾ká pošta', -57.784232]"
"['Ve¾ká pošta', 'Èierny most', -48.198312]"
"['Èierny most', 'Divadlo Jonáša Záborského', -49.276342]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -45.247191]"

45:
"['eleznièná stanica', 'Škára *', -69.128932]"
"['Škára *', 'Lomnická', -69.658407]"
"['Lomnická', 'Švábska', -66.450782]"
"['Švábska', 'Pionierska  *', -64.325377]"
"['Pionierska  *', 'Jesenná  *', -68.542302]"
"['Jesenná  *', 'Jelšová  *', -73.151145]"
"['eleznièná stanica', 'Èierny most', -56.149632]"
"['Èierny most', 'Divadlo Jonáša Záborského', -31.114444]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -59.52551]"
"['Na Hlavnej', 'Trojica', -57.883021]"
"['Trojica', 'Sabinovská', -69.744158]"
"['Sabinovská', 'Mièurinova  *', -95.419195]"
"['Mièurinova  *', 'Pod Skalkou  *', -77.500568]"
"['Pod Skalkou  *', 'Rázc.Šidlovec  *', -61.041273]"
"['Rázc.Šidlovec  *', 'Dúbrava  *', -55.232877]"
"['Dúbrava  *', 'Bikoš  *', -123.225502]"
"['Ve¾kı Šariš', 'Varoš  *', -39.267692]"
"['Varoš  *', 'Nám.sv.Jakuba  *', -77.346196]"
"['Nám.sv.Jakuba  *', 'Medulienka   *', -72.187404]"
"['Medulienka   *', 'Stanièná  *', -77.101368]"
"['Pivovar  *', 'Bikoš  *', -99.382894]"
"['Bikoš  *', 'Rázc.Šidlovec  *', -70.207792]"
"['Bikoš  *', 'Šariš park *', -64.261328]"
"['Šariš park *', 'Pivovar  *', -77.870307]"
"['Pivovar  *', 'Stanièná  *', -85.756939]"
"['Na Hlavnej', 'Ve¾ká pošta', -37.894403]"
"['Ve¾ká pošta', 'Èierny most', -38.878788]"
"['Delòa', 'Jelšová  *', -45.784884]"
"['Pivovar  *', 'Rázcestie Kanaš  *', 46.0]"
"['Rázcestie Kanaš  *', 'Sordok  *', 77.076923]"
"['Sordok  *', 'Kozí rook  *', 69.380952]"
"['Kozí rook  *', 'Husí hrb  *', 44.545455]"
"['Husí hrb  *', 'Pri kostole  *', 50.428571]"
"['Pri kostole  *', 'Medzi jarkami  *', 64.866667]"
"['Medzi jarkami  *', 'Stará škola  *', 57.888889]"

21:
"['Dopravnı podnik  *', 'Rázcestie Kúty  *', -53.348519]"
"['Rázcestie Kúty  *', 'Duklianska  *', -55.708122]"
"['Trojica', 'Na Hlavnej', -69.543981]"
"['Na Hlavnej', 'Grešova  *', -53.375559]"
"['Grešova  *', 'Fakultná nemocnica', -63.320887]"
"['Fakultná nemocnica', 'Detská nemocnica', -29.747826]"
"['Detská nemocnica', 'Rázcestie Kúty  *', -50.515942]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -36.932902]"
"['Šarišské Lúky  *', 'Vranovská  *', -43.323144]"
