
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -69.773512]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -68.981245]"
"['Na Hlavnej', 'Trojica', -75.07017]"
"['Trojica', 'Duklianska  *', -112.670366]"
"['Duklianska  *', 'Rázcestie Kúty  *', -97.457619]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -70.198987]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -76.937116]"
"['Šarišské Lúky  *', 'Vranovská  *', -78.397511]"
"['Vranovská  *', 'Paica  *', -70.749913]"
"['Na Hlavnej', 'Ve¾ká pošta', -86.35418]"
"['Ve¾ká pošta', 'Èierny most', -83.251437]"
"['Èierny most', 'eleznièná stanica', -94.587674]"
"['eleznièná stanica', 'Škára *', -106.983903]"
"['Škára *', 'Solivarská  *', -104.438241]"
"['Solivarská  *', 'Bohúòova  *', -83.913898]"
"['Bohúòova  *', 'Múzeum Solivar *', -81.61717]"
"['Niná Šebastová', 'Paica  *', -43.652085]"
"['Solivar', 'Múzeum Solivar *', -30.167864]"

 8:
"['Škára *', 'eleznièná stanica', -93.561551]"
"['eleznièná stanica', 'Èierny most', -77.851519]"
"['Èierny most', 'Divadlo Jonáša Záborského', -112.536983]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -107.59828]"
"['Na Hlavnej', 'Trojica', -62.734898]"
"['Trojica', 'Poliklinika', -100.262585]"
"['Poliklinika', 'Clementisova', -70.037312]"
"['Clementisova', 'Volgogradská', -54.861292]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -50.030605]"
"['Nám.Krá¾.pokoja', 'VUKOV', -45.48465]"
"['VUKOV', 'Centrum', -44.345964]"
"['Centrum', 'Prostìjovská', -45.710922]"
"['Lesnícka', 'Pavla Horova', -93.778485]"
"['Pavla Horova', 'Martina Benku', -102.084285]"
"['Martina Benku', 'Jurkovièova', -107.162224]"
"['Jurkovièova', 'Karpatská', -122.652353]"
"['Na Hlavnej', 'Ve¾ká pošta', -16.762653]"
"['Ve¾ká pošta', 'Èierny most', -14.686424]"
"['Sibírska', 'Karpatská', -57.001701]"
"['Lesnícka', 'Škára *', -95.580718]"
"['Sídlisko III', 'Prostìjovská', -44.587758]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -68.272845]"
"['Prešovská univerzita', 'Škultétyho', -68.948294]"
"['Škultétyho', 'eleznièná stanica', -82.423006]"
"['eleznièná stanica', 'Škára *', -95.221296]"
"['Škára *', 'Lesnícka', -97.241103]"
"['Lesnícka', 'Pavla Horova', -97.151545]"
"['Pavla Horova', 'Martina Benku', -100.602331]"
"['Martina Benku', 'Jurkovièova', -108.991411]"
"['Jurkovièova', 'Karpatská', -124.076497]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -138.199766]"
"['Námestie mládee  *', 'Obrancov mieru', -140.630239]"
"['Obrancov mieru', 'Clementisova', -82.530672]"
"['Clementisova', 'Volgogradská', -79.972336]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -73.681774]"
"['Nám.Krá¾.pokoja', 'VUKOV', -62.241342]"
"['VUKOV', 'Centrum', -72.536756]"
"['Centrum', 'Prostìjovská', -67.528048]"
"['Sibírska', 'Karpatská', -58.637933]"
"['Sídlisko III', 'Prostìjovská', -26.417056]"
"['Obrancov mieru', 'Duchnovièovo nám.', -20.511556]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -64.938533]"
"['Mukaèevská  *', 'Centrum', -102.297394]"
"['Centrum', 'Prostìjovská', -72.894775]"
"['Sídlisko III', 'Prostìjovská', -37.87985]"
"['Centrum', 'VUKOV', -61.326667]"
"['VUKOV', 'Mukaèevská  *', -34.475628]"
"['Jazdecká  *', 'Sabinovská', -58.1298]"
"['Sabinovská', 'Trojica', -85.774534]"
"['Trojica', 'Na Hlavnej', -62.001167]"
"['Na Hlavnej', 'Ve¾ká pošta', -34.883978]"
"['Ve¾ká pošta', 'Èierny most', -31.81681]"
"['Èierny most', 'eleznièná stanica', -84.3572]"
"['eleznièná stanica', 'Škára *', -85.880837]"
"['Lomnická', 'Švábska', -87.564136]"
"['Švábska', 'Chalupkova  *', -81.141509]"
"['Chalupkova  *', 'Košická  *', -93.630363]"
"['Košická  *', 'Novı Solivar  *', -81.0]"
"['Novı Solivar  *', 'eleznièná stanica', -94.926778]"
"['Èierny most', 'Divadlo Jonáša Záborského', -96.851419]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -95.799736]"
"['Trojica', 'Bjornsonova  *', -86.563986]"
"['Bjornsonova  *', 'Jazdecká  *', -99.018834]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -83.697754]"
"['Poliklinika', 'Clementisova', -59.54785]"
"['Clementisova', 'Volgogradská', -42.224991]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -38.193715]"
"['Nám.Krá¾.pokoja', 'VUKOV', -30.753459]"
"['VUKOV', 'Centrum', -30.340659]"
"['Centrum', 'Prostìjovská', -36.343708]"
"['Pod Šalgovíkom', 'Vansovej', -17.144207]"
"['Vansovej', 'L.Novomeského', -73.139071]"
"['L.Novomeského', 'Martina Benku', -87.564276]"
"['Martina Benku', 'Pavla Horova', -88.814728]"
"['Pavla Horova', 'Lesnícka', -82.412017]"
"['Lesnícka', 'Škára *', -80.949759]"
"['Škára *', 'eleznièná stanica', -80.342829]"
"['eleznièná stanica', 'Èierny most', -64.762433]"
"['Èierny most', 'Divadlo Jonáša Záborského', -92.39565]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -86.268682]"
"['Na Hlavnej', 'Trojica', -49.045595]"
"['Na Hlavnej', 'Ve¾ká pošta', -7.486322]"
"['Ve¾ká pošta', 'Èierny most', -7.083375]"
"['Sídlisko III', 'Prostìjovská', -35.120498]"

11:
"['Poliklinika', 'Levoèská', -66.89191]"
"['Levoèská', 'Rázcestie Rúrky  *', -49.08762]"
"['Rázcestie Rúrky  *', 'J.Bereša  *', -32.296943]"
"['Na Rúrkach', 'J.Bereša  *', -34.842457]"
"['Poliklinika', 'Trojica', -72.253231]"
"['Trojica', 'Na Hlavnej', -43.31415]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -66.454688]"
"['Na Hlavnej', 'Ve¾ká pošta', -18.114286]"
"['Ve¾ká pošta', 'Èierny most', -21.021368]"
"['Èierny most', 'Rusínska  *', -81.178082]"
"['Rusínska  *', 'Eperia', -77.260331]"
"['Eperia', 'Martina Benku', -104.452632]"
"['Martina Benku', 'Pavla Horova', -86.368336]"
