
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -74.392399]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -73.717898]"
"['Na Hlavnej', 'Trojica', -81.97827]"
"['Trojica', 'Duklianska  *', -119.267574]"
"['Duklianska  *', 'Rázcestie Kúty  *', -103.185645]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -81.23446]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -90.523555]"
"['Šarišské Lúky  *', 'Vranovská  *', -86.636994]"
"['Vranovská  *', 'Paica  *', -80.488972]"
"['Na Hlavnej', 'Ve¾ká pošta', -100.00108]"
"['Ve¾ká pošta', 'Èierny most', -92.478157]"
"['Èierny most', 'eleznièná stanica', -102.016365]"
"['eleznièná stanica', 'Škára *', -111.507903]"
"['Škára *', 'Solivarská  *', -112.394685]"
"['Solivarská  *', 'Bohúòova  *', -88.503313]"
"['Bohúòova  *', 'Múzeum Solivar *', -85.936065]"
"['Niná Šebastová', 'Paica  *', -47.716848]"
"['Solivar', 'Múzeum Solivar *', -28.700286]"
"['Niná Šebastová', 'Niná Šebastová', -11.0]"

 8:
"['Škára *', 'eleznièná stanica', -108.914578]"
"['eleznièná stanica', 'Èierny most', -95.791838]"
"['Èierny most', 'Divadlo Jonáša Záborského', -139.703948]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -134.965494]"
"['Na Hlavnej', 'Trojica', -78.745192]"
"['Trojica', 'Poliklinika', -120.440781]"
"['Poliklinika', 'Clementisova', -81.965207]"
"['Clementisova', 'Volgogradská', -71.544434]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -64.090689]"
"['Nám.Krá¾.pokoja', 'VUKOV', -57.033541]"
"['VUKOV', 'Centrum', -58.956868]"
"['Centrum', 'Prostìjovská', -56.725998]"
"['Lesnícka', 'Pavla Horova', -113.649285]"
"['Pavla Horova', 'Martina Benku', -126.853035]"
"['Martina Benku', 'Jurkovièova', -131.552317]"
"['Jurkovièova', 'Karpatská', -141.027652]"
"['Na Hlavnej', 'Ve¾ká pošta', -21.736414]"
"['Ve¾ká pošta', 'Èierny most', -22.474869]"
"['Sibírska', 'Karpatská', -76.903588]"
"['Lesnícka', 'Škára *', -114.811958]"
