
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -82.546896]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -80.797692]"
"['Na Hlavnej', 'Trojica', -90.844982]"
"['Trojica', 'Duklianska  *', -130.18728]"
"['Duklianska  *', 'Rázcestie Kúty  *', -114.288301]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -87.374637]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -93.898]"
"['Šarišské Lúky  *', 'Vranovská  *', -92.757637]"
"['Vranovská  *', 'Paica  *', -85.991521]"
"['Na Hlavnej', 'Ve¾ká pošta', -113.263947]"
"['Ve¾ká pošta', 'Èierny most', -109.178426]"
"['Èierny most', 'eleznièná stanica', -113.52025]"
"['eleznièná stanica', 'Škára *', -121.401033]"
"['Škára *', 'Solivarská  *', -123.27162]"
"['Solivarská  *', 'Bohúòova  *', -96.594531]"
"['Bohúòova  *', 'Múzeum Solivar *', -96.499309]"
"['Niná Šebastová', 'Paica  *', -48.528198]"
"['Solivar', 'Múzeum Solivar *', -27.770436]"
"['Niná Šebastová', 'Niná Šebastová', -11.0]"

 8:
"['Škára *', 'eleznièná stanica', -118.842688]"
"['eleznièná stanica', 'Èierny most', -107.558925]"
"['Èierny most', 'Divadlo Jonáša Záborského', -153.246169]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -149.943399]"
"['Na Hlavnej', 'Trojica', -90.973924]"
"['Trojica', 'Poliklinika', -133.604355]"
"['Poliklinika', 'Clementisova', -95.216289]"
"['Clementisova', 'Volgogradská', -89.808429]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -79.211392]"
"['Nám.Krá¾.pokoja', 'VUKOV', -67.348039]"
"['VUKOV', 'Centrum', -73.451083]"
"['Centrum', 'Prostìjovská', -66.129153]"
"['Lesnícka', 'Pavla Horova', -122.765118]"
"['Pavla Horova', 'Martina Benku', -133.357797]"
"['Martina Benku', 'Jurkovièova', -138.265829]"
"['Jurkovièova', 'Karpatská', -151.659448]"
"['Na Hlavnej', 'Ve¾ká pošta', -31.298015]"
"['Ve¾ká pošta', 'Èierny most', -31.446272]"
"['Sibírska', 'Karpatská', -80.566149]"
"['Lesnícka', 'Škára *', -125.113746]"
"['Sídlisko III', 'Prostìjovská', -38.680073]"
"['Sibírska', 'Sibírska', -7.0]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -90.098]"
"['Prešovská univerzita', 'Škultétyho', -91.592733]"
"['Škultétyho', 'eleznièná stanica', -106.630346]"
"['eleznièná stanica', 'Škára *', -119.332901]"
"['Škára *', 'Lesnícka', -124.277052]"
"['Lesnícka', 'Pavla Horova', -125.337349]"
"['Pavla Horova', 'Martina Benku', -131.709907]"
"['Martina Benku', 'Jurkovièova', -144.536915]"
"['Jurkovièova', 'Karpatská', -154.6612]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -170.282394]"
"['Námestie mládee  *', 'Obrancov mieru', -175.25357]"
"['Obrancov mieru', 'Clementisova', -107.57545]"
"['Clementisova', 'Volgogradská', -113.304034]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -102.62581]"
"['Nám.Krá¾.pokoja', 'VUKOV', -86.091337]"
"['VUKOV', 'Centrum', -97.382168]"
"['Centrum', 'Prostìjovská', -89.617027]"
"['Sibírska', 'Karpatská', -77.35609]"
"['Sídlisko III', 'Prostìjovská', -38.017135]"
"['Obrancov mieru', 'Duchnovièovo nám.', -35.058851]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -85.613799]"
"['Mukaèevská  *', 'Centrum', -129.249599]"
"['Centrum', 'Prostìjovská', -85.922759]"
"['Sídlisko III', 'Prostìjovská', -38.369916]"
"['Centrum', 'VUKOV', -54.10992]"
"['VUKOV', 'Mukaèevská  *', -35.981925]"
"['Jazdecká  *', 'Sabinovská', -62.968679]"
"['Sabinovská', 'Trojica', -87.889748]"
"['Trojica', 'Na Hlavnej', -81.288825]"
"['Na Hlavnej', 'Ve¾ká pošta', -40.26178]"
"['Ve¾ká pošta', 'Èierny most', -44.551581]"
"['Èierny most', 'eleznièná stanica', -105.121298]"
"['eleznièná stanica', 'Škára *', -101.495696]"
"['Lomnická', 'Švábska', -101.083361]"
"['Švábska', 'Chalupkova  *', -92.536176]"
"['Chalupkova  *', 'Košická  *', -107.559538]"
"['Košická  *', 'Novı Solivar  *', -95.562677]"
"['Novı Solivar  *', 'eleznièná stanica', -113.971331]"
"['Èierny most', 'Divadlo Jonáša Záborského', -131.872597]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -124.522719]"
"['Trojica', 'Bjornsonova  *', -118.818222]"
"['Bjornsonova  *', 'Jazdecká  *', -131.309799]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -116.972358]"
