
 1:
"['Èierny most', 'Divadlo Jonáša Záborského', -77.700019]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -76.904715]"
"['Na Hlavnej', 'Trojica', -86.187614]"
"['Trojica', 'Duklianska  *', -123.365642]"
"['Duklianska  *', 'Rázcestie Kúty  *', -106.607276]"
"['Rázcestie Kúty  *', 'Dopravnı podnik  *', -83.935347]"
"['Dopravnı podnik  *', 'Šarišské Lúky  *', -91.927289]"
"['Šarišské Lúky  *', 'Vranovská  *', -89.431379]"
"['Vranovská  *', 'Paica  *', -82.721894]"
"['Na Hlavnej', 'Ve¾ká pošta', -105.886376]"
"['Ve¾ká pošta', 'Èierny most', -99.231086]"
"['Èierny most', 'eleznièná stanica', -106.79957]"
"['eleznièná stanica', 'Škára *', -116.255448]"
"['Škára *', 'Solivarská  *', -117.65427]"
"['Solivarská  *', 'Bohúòova  *', -93.046223]"
"['Bohúòova  *', 'Múzeum Solivar *', -92.108201]"
"['Niná Šebastová', 'Paica  *', -47.992488]"
"['Solivar', 'Múzeum Solivar *', -27.85043]"
"['Niná Šebastová', 'Niná Šebastová', -11.0]"

 8:
"['Škára *', 'eleznièná stanica', -113.978529]"
"['eleznièná stanica', 'Èierny most', -101.183406]"
"['Èierny most', 'Divadlo Jonáša Záborského', -146.869891]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -143.415567]"
"['Na Hlavnej', 'Trojica', -85.740824]"
"['Trojica', 'Poliklinika', -127.540515]"
"['Poliklinika', 'Clementisova', -86.916153]"
"['Clementisova', 'Volgogradská', -78.106407]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -71.632965]"
"['Nám.Krá¾.pokoja', 'VUKOV', -61.976027]"
"['VUKOV', 'Centrum', -66.5615]"
"['Centrum', 'Prostìjovská', -62.28354]"
"['Lesnícka', 'Pavla Horova', -118.720423]"
"['Pavla Horova', 'Martina Benku', -128.94862]"
"['Martina Benku', 'Jurkovièova', -133.245541]"
"['Jurkovièova', 'Karpatská', -145.709212]"
"['Na Hlavnej', 'Ve¾ká pošta', -26.584657]"
"['Ve¾ká pošta', 'Èierny most', -27.254981]"
"['Sibírska', 'Karpatská', -76.939183]"
"['Lesnícka', 'Škára *', -119.68362]"
"['Sídlisko III', 'Prostìjovská', -41.052214]"
"['Sibírska', 'Sibírska', -7.0]"

38:
"['Duchnovièovo nám.', 'Prešovská univerzita', -85.94269]"
"['Prešovská univerzita', 'Škultétyho', -87.190873]"
"['Škultétyho', 'eleznièná stanica', -102.316892]"
"['eleznièná stanica', 'Škára *', -115.288793]"
"['Škára *', 'Lesnícka', -119.586064]"
"['Lesnícka', 'Pavla Horova', -121.837019]"
"['Pavla Horova', 'Martina Benku', -127.194967]"
"['Martina Benku', 'Jurkovièova', -140.366284]"
"['Jurkovièova', 'Karpatská', -150.025013]"
"['Duchnovièovo nám.', 'Námestie mládee  *', -164.132327]"
"['Námestie mládee  *', 'Obrancov mieru', -166.635106]"
"['Obrancov mieru', 'Clementisova', -101.568084]"
"['Clementisova', 'Volgogradská', -102.603007]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -93.606452]"
"['Nám.Krá¾.pokoja', 'VUKOV', -80.212939]"
"['VUKOV', 'Centrum', -92.140361]"
"['Centrum', 'Prostìjovská', -84.889535]"
"['Sibírska', 'Karpatská', -73.510542]"
"['Sídlisko III', 'Prostìjovská', -34.220994]"
"['Obrancov mieru', 'Duchnovièovo nám.', -31.533777]"

39:
"['Jazdecká  *', 'Mukaèevská  *', -81.081178]"
"['Mukaèevská  *', 'Centrum', -121.087456]"
"['Centrum', 'Prostìjovská', -82.413909]"
"['Sídlisko III', 'Prostìjovská', -37.818973]"
"['Centrum', 'VUKOV', -58.373702]"
"['VUKOV', 'Mukaèevská  *', -37.864647]"
"['Jazdecká  *', 'Sabinovská', -61.698009]"
"['Sabinovská', 'Trojica', -87.931751]"
"['Trojica', 'Na Hlavnej', -77.141865]"
"['Na Hlavnej', 'Ve¾ká pošta', -39.070399]"
"['Ve¾ká pošta', 'Èierny most', -41.06363]"
"['Èierny most', 'eleznièná stanica', -102.753902]"
"['eleznièná stanica', 'Škára *', -99.150188]"
"['Lomnická', 'Švábska', -101.330645]"
"['Švábska', 'Chalupkova  *', -92.517241]"
"['Chalupkova  *', 'Košická  *', -108.582819]"
"['Košická  *', 'Novı Solivar  *', -94.043661]"
"['Novı Solivar  *', 'eleznièná stanica', -111.417374]"
"['Èierny most', 'Divadlo Jonáša Záborského', -124.442439]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -118.532847]"
"['Trojica', 'Bjornsonova  *', -112.411631]"
"['Bjornsonova  *', 'Jazdecká  *', -125.117101]"
"['Škára *', 'Lomnická', -117.0]"

 4:
"['Trojica', 'Poliklinika', -106.195577]"
"['Poliklinika', 'Clementisova', -76.531175]"
"['Clementisova', 'Volgogradská', -62.244257]"
"['Volgogradská', 'Nám.Krá¾.pokoja', -57.927402]"
"['Nám.Krá¾.pokoja', 'VUKOV', -48.839878]"
"['VUKOV', 'Centrum', -50.677622]"
"['Centrum', 'Prostìjovská', -51.930524]"
"['Pod Šalgovíkom', 'Vansovej', -31.692901]"
"['Vansovej', 'L.Novomeského', -97.855533]"
"['L.Novomeského', 'Martina Benku', -114.265742]"
"['Martina Benku', 'Pavla Horova', -117.21513]"
"['Pavla Horova', 'Lesnícka', -106.637]"
"['Lesnícka', 'Škára *', -106.920086]"
"['Škára *', 'eleznièná stanica', -97.757887]"
"['eleznièná stanica', 'Èierny most', -85.533077]"
"['Èierny most', 'Divadlo Jonáša Záborského', -115.50857]"
"['Divadlo Jonáša Záborského', 'Na Hlavnej', -108.943792]"
